Layers Decomposed,Matrices Decomposed,Rank,Decomposition Percentage,Inference Time,Dataset Size,Metric,ARC Easy,ARC Challenge,HellaSwag,MMLU,TruthfulQA,WinoGrande,GSM8K
"[2, 29]","[1, 1, 1, 1, 1, 1, 1]",1,6.004292181671211,373.45876240730286,30939,Exact Match,0.6957070707070707,0.39590443686006827,0.5351523600876319,0.35301239139723684,0.29534036985244017,0.6353591160220995,0.08718726307808947
"[2, 17, 31]","[1, 1, 1, 1, 1, 1, 1]",1,9.006438272506823,373.98248624801636,30939,Exact Match,0.6620370370370371,0.3643344709897611,0.4987054371639116,0.3581398661159379,0.30688353376087374,0.6187845303867403,0.02577710386656558
"[2, 8, 14, 20, 26]","[1, 1, 1, 1, 1, 1, 1]",1,15.010730454178034,358.5555281639099,30939,Exact Match,0.6207912457912458,0.3378839590443686,0.4509061939852619,0.26826662868537243,0.2570386928435729,0.6101026045777427,0.00530705079605762
"[4, 8, 12, 16, 20, 24, 28]","[1, 1, 1, 1, 1, 1, 1]",1,21.015022635849245,343.54218435287476,30939,Exact Match,0.5286195286195287,0.295221843003413,0.41814379605656243,0.29554194559179603,0.3136019681674411,0.5714285714285714,0.0
"[2, 5, 8, 11, 14, 17, 20, 23, 26, 29, 31]","[1, 1, 1, 1, 1, 1, 1]",1,33.02360699919167,313.4207043647766,30939,Accuracy,0.43813131313131315,0.2380546075085324,0.3218482374029078,0.24334140435835352,0.30615687855022616,0.5288082083662194,
"[0, 2, 4, 6, 8, 10, 12, 14, 16, 18, 20, 22, 24, 26, 28, 30]","[1, 1, 1, 1, 1, 1, 1]",1,48.03433745336969,277.45973539352417,30939,Accuracy,0.25757575757575757,0.22013651877133106,0.25851424019119695,0.2533827090158097,0.3262659793772818,0.5011838989739542,
"[1, 3, 5, 7, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 20, 22, 24, 26, 28, 30]","[1, 1, 1, 1, 1, 1, 1]",1,60.042921816712116,247.60779666900635,30939,Accuracy,0.2588383838383838,0.22184300341296928,0.25761800438159727,0.22945449366187154,,0.505130228887135,
"[1, 3, 5, 7, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]","[1, 1, 1, 1, 1, 1, 1]",1,75.05365227089014,212.57295107841492,30939,Accuracy,0.2596801346801347,0.23208191126279865,0.25692093208524197,0.2547357926221336,0.31297733177271597,0.4909234411996843,
"[0, 2, 4, 6, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31]","[1, 1, 1, 1, 1, 1, 1]",1,84.06009054339695,192.3657786846161,30939,Accuracy,0.25841750841750843,0.22440273037542663,0.25413264289982074,0.270830366044723,0.3330751100849585,0.48066298342541436,
"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31]","[1, 1, 1, 1, 1, 1, 1]",1,96.06867490673937,168.3971130847931,30939,Accuracy,0.2563131313131313,0.23122866894197952,0.25562636924915355,0.2441247685514884,0.31858029945287314,0.494869771112865,
